host_numcpu: 12
host_gomaxprocs: 12
host_goversion: go1.26.4
host_totalmem: 16.00 GB
host_timestamp: 2026-06-23T06:12:00Z
PASS
ok  	github.com/jokruger/kavun-benchmark/bench	0.466s
goos: darwin
goarch: amd64
pkg: github.com/jokruger/kavun-benchmark/bench/goja
cpu: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
BenchmarkGoLua/loop_sum-12    	    2464	    466229 ns/op	  240169 B/op	   30006 allocs/op
BenchmarkGoLua/loop_sum-12    	    2446	    466097 ns/op	  240169 B/op	   30006 allocs/op
BenchmarkGoLua/sum_pow-12     	    1731	    644449 ns/op	  320138 B/op	   40002 allocs/op
BenchmarkGoLua/sum_pow-12     	    1802	    640547 ns/op	  320138 B/op	   40002 allocs/op
BenchmarkGoLua/sum_pow-12     	    1837	    635075 ns/op	  320138 B/op	   40002 allocs/op
BenchmarkGoLua/sum_pow-12     	    1812	    650846 ns/op	  320138 B/op	   40002 allocs/op
BenchmarkGoLua/sum_pow-12     	    1791	    637246 ns/op	  320137 B/op	   40002 allocs/op
BenchmarkGoLua/closure_counter-12         	   10000	    100781 ns/op	   24256 B/op	    3011 allocs/op
BenchmarkGoLua/closure_counter-12         	   10000	    100370 ns/op	   24256 B/op	    3011 allocs/op
BenchmarkGoLua/closure_counter-12         	   10000	    100858 ns/op	   24256 B/op	    3011 allocs/op
BenchmarkGoLua/closure_counter-12         	   10000	    102459 ns/op	   24256 B/op	    3011 allocs/op
BenchmarkGoLua/closure_counter-12         	    9862	    103349 ns/op	   24256 B/op	    3011 allocs/op
BenchmarkGoLua/string_concat-12           	   22646	     52734 ns/op	   40808 B/op	    1403 allocs/op
BenchmarkGoLua/string_concat-12           	   22728	     52633 ns/op	   40808 B/op	    1403 allocs/op
BenchmarkGoLua/string_concat-12           	   22710	     52654 ns/op	   40808 B/op	    1403 allocs/op
BenchmarkGoLua/string_concat-12           	   22656	     52760 ns/op	   40808 B/op	    1403 allocs/op
BenchmarkGoLua/string_concat-12           	   22732	     53025 ns/op	   40808 B/op	    1403 allocs/op
BenchmarkGoLua/string_repeat-12           	 2248555	       530.7 ns/op	     400 B/op	       8 allocs/op
BenchmarkGoLua/string_repeat-12           	 2238741	       540.2 ns/op	     400 B/op	       8 allocs/op
BenchmarkGoLua/string_repeat-12           	 2249930	       548.0 ns/op	     400 B/op	       8 allocs/op
BenchmarkGoLua/string_repeat-12           	 2255955	       536.3 ns/op	     400 B/op	       8 allocs/op
BenchmarkGoLua/string_repeat-12           	 2268772	       555.7 ns/op	     400 B/op	       8 allocs/op
BenchmarkGoLua/str_contains-12            	    1735	    681635 ns/op	   65216 B/op	    6008 allocs/op
BenchmarkGoLua/str_contains-12            	    1741	    671790 ns/op	   65216 B/op	    6008 allocs/op
